DateHour,Well_ft,Tide_ft,Rain_ft
2007-10-01 01:00:00,3.65,-0.96,0.0
2007-10-01 02:00:00,3.65,-0.96,0.0
2007-10-01 03:00:00,3.65,-0.96,0.0
2007-10-01 04:00:00,3.65,-0.96,0.0
2007-10-01 05:00:00,3.65,-0.96,0.0
2007-10-01 06:00:00,3.65,-0.96,0.0
2007-10-01 07:00:00,3.65,-0.96,0.0
2007-10-01 08:00:00,3.65,-0.96,0.0
2007-10-01 09:00:00,3.65,-0.96,0.0
2007-10-01 10:00:00,3.65,-0.96,0.0
2007-10-01 11:00:00,3.65,-0.96,0.0
2007-10-01 12:00:00,3.65,-0.96,0.0
2007-10-01 13:00:00,3.65,-0.96,0.0
2007-10-01 14:00:00,3.65,-0.96,0.0
2007-10-01 15:00:00,3.65,-0.96,0.0
2007-10-01 16:00:00,3.65,-0.96,0.0
2007-10-01 17:00:00,3.65,-0.96,0.0
2007-10-01 18:00:00,3.65,-0.96,0.0
2007-10-01 19:00:00,3.65,-0.96,0.0
2007-10-01 20:00:00,3.65,-0.96,0.0
2007-10-01 21:00:00,3.65,-0.96,0.0
2007-10-01 22:00:00,3.65,-0.96,0.0
2007-10-01 23:00:00,3.65,-0.96,0.0
2007-10-02 00:00:00,3.65,-0.96,0.0
2007-10-02 01:00:00,3.65,-0.96,0.0
2007-10-02 02:00:00,3.65,-0.96,0.0
2007-10-02 03:00:00,3.65,-0.96,0.0
2007-10-02 04:00:00,3.65,-0.96,0.0
2007-10-02 05:00:00,3.65,-0.96,0.0
2007-10-02 06:00:00,3.65,-0.96,0.0
2007-10-02 07:00:00,3.65,-0.96,0.0
2007-10-02 08:00:00,3.65,-0.96,0.0
2007-10-02 09:00:00,3.65,-0.96,0.0
2007-10-02 10:00:00,3.65,-0.96,0.0
2007-10-02 11:00:00,3.65,-0.96,0.0
2007-10-02 12:00:00,3.65,-0.96,0.0
2007-10-02 13:00:00,3.65,-0.96,0.0
2007-10-02 14:00:00,3.65,-0.96,0.0
2007-10-02 15:00:00,3.65,-0.96,0.0
2007-10-02 16:00:00,3.65,-0.96,0.0
2007-10-02 17:00:00,3.65,-0.96,0.0
2007-10-02 18:00:00,3.65,-0.96,0.0
2007-10-02 19:00:00,3.65,-0.96,0.0
2007-10-02 20:00:00,3.65,-0.96,0.0
2007-10-02 21:00:00,3.65,-0.96,0.0
2007-10-02 22:00:00,3.65,-0.96,0.0
2007-10-02 23:00:00,3.65,-0.96,0.0
2007-10-03 00:00:00,3.65,-0.96,0.0
2007-10-03 01:00:00,3.65,-0.96,0.0
2007-10-03 02:00:00,3.65,-0.96,0.0
2007-10-03 03:00:00,3.65,-0.96,0.0
2007-10-03 04:00:00,3.65,-0.96,0.0
2007-10-03 05:00:00,3.65,-0.96,0.0
2007-10-03 06:00:00,3.65,-0.96,0.0
2007-10-03 07:00:00,3.65,-0.96,0.0
2007-10-03 08:00:00,3.65,-0.96,0.0
2007-10-03 09:00:00,3.65,-0.96,0.0
2007-10-03 10:00:00,3.65,-0.96,0.0
2007-10-03 11:00:00,3.65,-0.96,0.0
2007-10-03 12:00:00,3.65,-0.96,0.0
2007-10-03 13:00:00,3.65,-0.96,0.0
2007-10-03 14:00:00,3.65,-0.96,0.0
2007-10-03 15:00:00,3.65,-0.96,0.0
2007-10-03 16:00:00,3.65,-0.96,0.0
2007-10-03 17:00:00,3.65,-0.96,0.0
2007-10-03 18:00:00,3.65,-0.96,0.0
2007-10-03 19:00:00,3.65,-0.96,0.0
2007-10-03 20:00:00,3.65,-0.96,0.0
2007-10-03 21:00:00,3.65,-0.96,0.0
2007-10-03 22:00:00,3.65,-0.96,0.0
2007-10-03 23:00:00,3.65,-0.96,0.0
2007-10-04 00:00:00,3.65,-0.96,0.0
2007-10-04 01:00:00,3.65,-0.96,0.0
2007-10-04 02:00:00,3.65,-0.96,0.0
2007-10-04 03:00:00,3.65,-0.96,0.0
2007-10-04 04:00:00,3.65,-0.96,0.0
2007-10-04 05:00:00,3.65,-0.96,0.0
2007-10-04 06:00:00,3.65,-0.96,0.0
2007-10-04 07:00:00,3.65,-0.96,0.0
2007-10-04 08:00:00,3.65,-0.96,0.0
2007-10-04 09:00:00,3.65,-0.96,0.0
2007-10-04 10:00:00,3.65,-0.96,0.0
2007-10-04 11:00:00,3.65,-0.96,0.0
2007-10-04 12:00:00,3.65,-0.96,0.0
2007-10-04 13:00:00,3.65,-0.96,0.0
2007-10-04 14:00:00,3.65,-0.96,0.0
2007-10-04 15:00:00,3.65,-0.96,0.0
2007-10-04 16:00:00,3.65,-0.96,0.0
2007-10-04 17:00:00,3.65,-0.96,0.0
2007-10-04 18:00:00,3.65,-0.96,0.0
2007-10-04 19:00:00,3.65,-0.96,0.0
2007-10-04 20:00:00,3.65,-0.96,0.0
2007-10-04 21:00:00,3.65,-0.96,0.0
2007-10-04 22:00:00,3.65,-0.96,0.0
2007-10-04 23:00:00,3.65,-0.96,0.0
2007-10-05 00:00:00,3.65,-0.96,0.0
2007-10-05 01:00:00,3.65,-0.522,0.0
2007-10-05 02:00:00,3.65,-0.064,0.0
2007-10-05 03:00:00,3.64,0.3,0.0
2007-10-05 04:00:00,3.64,0.49,0.0
2007-10-05 05:00:00,3.64,0.45399999999999996,0.0
2007-10-05 06:00:00,3.63,0.172,0.0
2007-10-05 07:00:00,3.63,-0.304,0.0
2007-10-05 08:00:00,3.63,-0.8420000000000001,0.0
2007-10-05 09:00:00,3.65,-1.2890000000000001,0.0
2007-10-05 10:00:00,3.64,-1.536,0.00302075
2007-10-05 11:00:00,3.63,-1.534,0.00364575
2007-10-05 12:00:00,3.63,-1.2790000000000001,0.0
2007-10-05 13:00:00,3.63,-0.826,0.001
2007-10-05 14:00:00,3.63,-0.28300000000000003,0.0
2007-10-05 15:00:00,3.63,0.22699999999999998,0.0
2007-10-05 16:00:00,3.63,0.6,0.0
2007-10-05 17:00:00,3.63,0.755,0.0
2007-10-05 18:00:00,3.63,0.637,0.0
2007-10-05 19:00:00,3.62,0.259,0.0
2007-10-05 20:00:00,3.62,-0.27699999999999997,0.0011457499999999999
2007-10-05 21:00:00,3.62,-0.8170000000000001,0.00058325
2007-10-05 22:00:00,3.62,-1.226,0.00020825
2007-10-05 23:00:00,3.62,-1.416,0.0
2007-10-06 00:00:00,3.61,-1.349,0.0
2007-10-06 01:00:00,3.61,-1.046,0.0
2007-10-06 02:00:00,3.61,-0.59,0.0
2007-10-06 03:00:00,3.6,-0.096,0.0031249999999999997
2007-10-06 04:00:00,3.6,0.324,0.0
2007-10-06 05:00:00,3.6,0.57,0.0
2007-10-06 06:00:00,3.61,0.563,0.0
2007-10-06 07:00:00,3.61,0.28,0.0
2007-10-06 08:00:00,3.62,-0.20800000000000002,0.0
2007-10-06 09:00:00,3.62,-0.7659999999999999,0.0
2007-10-06 10:00:00,3.61,-1.2429999999999999,0.0
2007-10-06 11:00:00,3.61,-1.524,0.0
2007-10-06 12:00:00,3.6,-1.5419999999999998,0.0
2007-10-06 13:00:00,3.6,-1.2919999999999998,0.0
2007-10-06 14:00:00,3.59,-0.8370000000000001,0.0
2007-10-06 15:00:00,3.59,-0.28300000000000003,0.0
2007-10-06 16:00:00,3.58,0.25,0.0
2007-10-06 17:00:00,3.58,0.642,0.0
2007-10-06 18:00:00,3.57,0.7879999999999999,0.0
2007-10-06 19:00:00,3.57,0.635,0.0
2007-10-06 20:00:00,3.57,0.217,0.0
2007-10-06 21:00:00,3.57,-0.354,0.0
2007-10-06 22:00:00,3.57,-0.924,0.0
2007-10-06 23:00:00,3.56,-1.349,0.0
2007-10-07 00:00:00,3.56,-1.5290000000000001,0.0
2007-10-07 01:00:00,3.55,-1.4280000000000002,0.0
2007-10-07 02:00:00,3.55,-1.081,0.0
2007-10-07 03:00:00,3.54,-0.574,0.0
2007-10-07 04:00:00,3.54,-0.023,0.0
2007-10-07 05:00:00,3.53,0.442,0.0
2007-10-07 06:00:00,3.53,0.6970000000000001,0.0
